node_id,label,layer,level,parent_id,display_order
OPPORTUNITY_L3_互いに説明し合いながら内容を図で表現する活動,互いに説明し合いながら、内容を図で表現する活動,OPPORTUNITY,3,OPPORTUNITY_L2_学びを整理し自らの理解を表現する活動,125
EFFECT_L2_結果を分析し考察する力,結果を分析し考察する力,EFFECT,2,,126
EFFECT_L3_多面的に捉えて総合的に考察する力が育まれる,多面的に捉えて総合的に考察する力が育まれる,EFFECT,3,EFFECT_L2_結果を分析し考察する力,127
EFFECT_L3_根拠をもとに自分の考えを説明する力が育まれる,根拠をもとに自分の考えを説明する力が育まれる,EFFECT,3,EFFECT_L2_科学的に表現し説明する力,128
EFFECT_L3_他者に伝わるように考えを整理し分かりやすく表現する力が育まれる,他者に伝わるように考えを整理し、分かりやすく表現する力が育まれる,EFFECT,3,EFFECT_L2_科学的に表現し説明する力,129
UNIT_L2_中学校3年,中学校3年,UNIT,2,UNIT_L1_中学校,130
UNIT_L4_自然環境の保全と科学技術の利用（自然環境の保全と科学技術の利用）,自然環境の保全と科学技術の利用（自然環境の保全と科学技術の利用）,UNIT,4,UNIT_L3_地学,131
FUNCTION_L3_生徒間でのデータ・資料の共有・比較が可能,生徒間でのデータ・資料の共有・比較が可能,FUNCTION,3,FUNCTION_L2_データ・資料の共有,132
OPPORTUNITY_L2_観察や実験の結果をもとに科学的に考察を深める探究,観察や実験の結果をもとに科学的に考察を深める探究,OPPORTUNITY,2,,133
OPPORTUNITY_L3_複数地域の地質を比較・考察する活動,複数地域の地質を比較・考察する活動,OPPORTUNITY,3,OPPORTUNITY_L2_観察や実験の結果をもとに科学的に考察を深める探究,134
OPPORTUNITY_L3_自らの調査で得た内容を整理し他者に向けて説明・発信する活動,自らの調査で得た内容を整理し、他者に向けて説明・発信する活動,OPPORTUNITY,3,OPPORTUNITY_L2_学びの成果を発表・伝達する活動,135
EFFECT_L3_火山活動とマグマの粘性との関係理解が深まる,火山活動とマグマの粘性との関係理解が深まる,EFFECT,3,EFFECT_L2_自然現象等の理解,136
EFFECT_L3_造岩鉱物の種類と色の違いに関する理解が深まる,造岩鉱物の種類と色の違いに関する理解が深まる,EFFECT,3,EFFECT_L2_自然現象等の理解,137
EFFECT_L3_地域の大地の成り立ちに対する学習意欲が高まる,地域の大地の成り立ちに対する学習意欲が高まる,EFFECT,3,EFFECT_L2_理科への興味・関心・意欲,138
UNIT_L4_火山と地震（火山活動と火成岩）,火山と地震（火山活動と火成岩）,UNIT,4,UNIT_L3_地学,139
ICT_L3_デジタル温度ロガー(おんどとりTR42),デジタル温度ロガー(おんどとりTR42),ICT,3,ICT_L2_センサー・計測機器,140
ICT_L3_ThermoREC,ThermoREC,ICT,3,ICT_L2_観測・記録アプリ,141
FUNCTION_L3_温度変化をリアルタイムで可視化することが可能,温度変化をリアルタイムで可視化することが可能,FUNCTION,3,FUNCTION_L2_データ・現象の可視化,142
FUNCTION_L2_データ・画像の記録,データ・画像の記録,FUNCTION,2,FUNCTION_L1_記録・保存・整理系機能,143
FUNCTION_L3_測定データをCSV形式で保存・解析することが可能,測定データをCSV形式で保存・解析することが可能,FUNCTION,3,FUNCTION_L2_データ・画像の記録,144
FUNCTION_L3_同時に複数箇所の温度を測定し比較することが可能,同時に複数箇所の温度を測定し比較することが可能,FUNCTION,3,FUNCTION_L2_データ・現象の可視化,145
OPPORTUNITY_L2_データを収集し分析・整理する探究,データを収集し分析・整理する探究,OPPORTUNITY,2,,146
OPPORTUNITY_L3_CSVデータを用いた表計算ソフトでの解析する活動,CSVデータを用いた表計算ソフトでの解析する活動,OPPORTUNITY,3,OPPORTUNITY_L2_データを収集し分析・整理する探究,147
OPPORTUNITY_L3_熱平衡過程における2つの物体の温度変化を同時に観察・測定する活動,熱平衡過程における2つの物体の温度変化を同時に観察・測定する活動,OPPORTUNITY,3,OPPORTUNITY_L2_物理量やエネルギーの変化を捉える観察,148
EFFECT_L3_温度変化と仕事量との関係理解が深まる,温度変化と仕事量との関係理解が深まる,EFFECT,3,EFFECT_L2_科学的概念・法則の理解,149
EFFECT_L3_熱平衡の概念や仕組みに関する理解が深まる,熱平衡の概念や仕組みに関する理解が深まる,EFFECT,3,EFFECT_L2_科学的概念・法則の理解,150
EFFECT_L3_熱力学現象への興味・関心が高まる,熱力学現象への興味・関心が高まる,EFFECT,3,EFFECT_L2_理科への興味・関心・意欲,151
UNIT_L4_熱（熱と温度）,熱（熱と温度）,UNIT,4,UNIT_L3_物理,152
ICT_L3_タブレット端末,タブレット端末,ICT,3,ICT_L2_タブレット端末,153
ICT_L2_WEBマップ,WEBマップ,ICT,2,ICT_L1_ソフトウェア,154
ICT_L3_ひまわり8号リアルタイムWEB,ひまわり8号リアルタイムWEB,ICT,3,ICT_L2_WEBマップ,155
ICT_L3_世界の雨分布統計,世界の雨分布統計,ICT,3,ICT_L2_WEBマップ,156
ICT_L3_earth::地球の風天気雨の状況地図,"earth::地球の風,天気,雨の状況地図",ICT,3,ICT_L2_WEBマップ,157
FUNCTION_L3_雲・降水・風の分布の視覚的比較が可能,雲・降水・風の分布の視覚的比較が可能,FUNCTION,3,FUNCTION_L2_空間・地形情報の可視化,158
OPPORTUNITY_L2_天体や自然現象の時間的変化を捉える観察,天体や自然現象の時間的変化を捉える観察,OPPORTUNITY,2,,159
OPPORTUNITY_L3_雲・降水・風の関係を比較・観察する活動,雲・降水・風の関係を比較・観察する活動,OPPORTUNITY,3,OPPORTUNITY_L2_天体や自然現象の時間的変化を捉える観察,160
OPPORTUNITY_L3_観察や実験で得た根拠をもとに水蒸気の起源を科学的に考察する活動,観察や実験で得た根拠をもとに、水蒸気の起源を科学的に考察する活動,OPPORTUNITY,3,OPPORTUNITY_L2_観察や実験の結果をもとに科学的に考察を深める探究,161
EFFECT_L3_複数の資料を関連づけて総合的に考察する力が育まれる,複数の資料を関連づけて総合的に考察する力が育まれる,EFFECT,3,EFFECT_L2_結果を分析し考察する力,162
EFFECT_L3_地球規模での大気の循環に関する理解が深まる,地球規模での大気の循環に関する理解が深まる,EFFECT,3,EFFECT_L2_自然現象等の理解,163
EFFECT_L3_気象への興味・関心が高まる,気象への興味・関心が高まる,EFFECT,3,EFFECT_L2_理科への興味・関心・意欲,164
UNIT_L2_中学校2年,中学校2年,UNIT,2,UNIT_L1_中学校,165
UNIT_L4_日本の気象（大気の働きと海洋の影響）,日本の気象（大気の働きと海洋の影響）,UNIT,4,UNIT_L3_地学,166
ICT_L2_シミュレーションソフト,シミュレーションソフト,ICT,2,ICT_L1_ソフトウェア,167
ICT_L3_スカイガイド,スカイガイド,ICT,3,ICT_L2_シミュレーションソフト,168
FUNCTION_L3_天体の位置・時間を設定して再現観察が可能,天体の位置・時間を設定して再現観察が可能,FUNCTION,3,FUNCTION_L2_空間・地形情報の可視化,169
FUNCTION_L3_児童ごとの個別操作・探索が可能,児童ごとの個別操作・探索が可能,FUNCTION,3,FUNCTION_L2_比較・探索機能,170
OPPORTUNITY_L3_月の位置や見え方の変化を複数の時刻で比較して観察する活動,月の位置や見え方の変化を、複数の時刻で比較して観察する活動,OPPORTUNITY,3,OPPORTUNITY_L2_天体や自然現象の時間的変化を捉える観察,171
EFFECT_L3_月の形と位置の変化に関する理解が深まる,月の形と位置の変化に関する理解が深まる,EFFECT,3,EFFECT_L2_自然現象等の理解,172
UNIT_L4_月と太陽（月の位置や形と太陽の位置）,月と太陽（月の位置や形と太陽の位置）,UNIT,4,UNIT_L3_生物,173
ICT_L3_高橋式酸素センサ,高橋式酸素センサ,ICT,3,ICT_L2_センサー・計測機器,174
FUNCTION_L3_酸素濃度の瞬時測定が可能,酸素濃度の瞬時測定が可能,FUNCTION,3,FUNCTION_L2_データ・現象の可視化,175
OPPORTUNITY_L3_短時間で測定・分析ができる実験活動,短時間で測定・分析ができる実験活動,OPPORTUNITY,3,OPPORTUNITY_L2_効率的な観察,176
OPPORTUNITY_L3_測定した値を共有しグループで協働的に結果を考察する活動,測定した値を共有し、グループで協働的に結果を考察する活動,OPPORTUNITY,3,OPPORTUNITY_L2_観察や実験結果・考察などを共有し他者と比較・確認する活動,177
EFFECT_L3_観察や実験に主体的に取り組む姿勢が促される,観察や実験に主体的に取り組む姿勢が促される,EFFECT,3,EFFECT_L2_主体的に学習に取り組む力,178
ICT_L3_Google_スライド,Google スライド,ICT,3,ICT_L2_プレゼンテーションソフト,179
ICT_L2_表計算ソフト,表計算ソフト,ICT,2,ICT_L1_ソフトウェア,180
ICT_L3_Googleスプレッドシート,Googleスプレッドシート,ICT,3,ICT_L2_表計算ソフト,181
FUNCTION_L2_分析機能,分析機能,FUNCTION,2,FUNCTION_L1_分析・比較系機能,182
FUNCTION_L3_データの自動グラフ化が可能,データの自動グラフ化が可能,FUNCTION,3,FUNCTION_L2_分析機能,183
OPPORTUNITY_L2_協働的に資料や成果物を編集・構築する活動,協働的に資料や成果物を編集・構築する活動,OPPORTUNITY,2,,184
OPPORTUNITY_L3_クラウド上で成果を共有し協働的に確認・活用する活動,クラウド上で成果を共有し、協働的に確認・活用する活動,OPPORTUNITY,3,OPPORTUNITY_L2_協働的に資料や成果物を編集・構築する活動,185
OPPORTUNITY_L3_実験データを自動でグラフ化し結果を整理する活動,実験データを自動でグラフ化し、結果を整理する活動,OPPORTUNITY,3,OPPORTUNITY_L2_データを収集し分析・整理する探究,186
OPPORTUNITY_L2_観察結果の記録,観察結果の記録,OPPORTUNITY,2,,187
OPPORTUNITY_L3_観察した内容を写真とコメントで記録する活動,観察した内容を写真とコメントで記録する活動,OPPORTUNITY,3,OPPORTUNITY_L2_観察結果の記録,188
EFFECT_L3_温度と体積への変化に対する学習意欲の高まりが促される,温度と体積への変化に対する学習意欲の高まりが促される,EFFECT,3,EFFECT_L2_理科への興味・関心・意欲,189
UNIT_L2_小学校4年,小学校4年,UNIT,2,UNIT_L1_小学校,190
UNIT_L4_金属水空気と温度（温度と体積の変化）,金属水空気と温度（温度と体積の変化）,UNIT,4,UNIT_L3_化学,191
ICT_L3_ステラナビゲータ,ステラナビゲータ,ICT,3,ICT_L2_シミュレーションソフト,192
FUNCTION_L3_観察映像や資料の視認性向上が可能,観察映像や資料の視認性向上が可能,FUNCTION,3,FUNCTION_L2_映像・画像の表示・拡大,193
FUNCTION_L2_共同編集・共同作業,共同編集・共同作業,FUNCTION,2,FUNCTION_L1_共有・協働・通信系機能,194
FUNCTION_L3_複数人による協働編集が可能,複数人による協働編集が可能,FUNCTION,3,FUNCTION_L2_共同編集・共同作業,195
OPPORTUNITY_L3_生徒同士で画面を共有しながら天体運動について意見を交わす活動,生徒同士で画面を共有しながら、天体運動について意見を交わす活動,OPPORTUNITY,3,OPPORTUNITY_L2_意見や考察を交換し多様な視点を取りいれる討議活動,196
EFFECT_L2_基礎知識の定着と活用,基礎知識の定着と活用,EFFECT,2,,197
EFFECT_L3_記述による説明の正確さが向上する,記述による説明の正確さが向上する,EFFECT,3,EFFECT_L2_基礎知識の定着と活用,198
EFFECT_L3_思考力が高まる,思考力が高まる,EFFECT,3,EFFECT_L2_科学的に考える力,199
UNIT_L4_天体の動きと地球の自転・公転（日周運動と自転）,天体の動きと地球の自転・公転（日周運動と自転）,UNIT,4,UNIT_L3_地学,200
ICT_L2_データ,データ,ICT,2,ICT_L1_ソフトウェア,201
ICT_L3_高知大学気象情報頁,高知大学気象情報頁,ICT,3,ICT_L2_データ,202
FUNCTION_L3_インターネット気象データの即時検索が可能,インターネット気象データの即時検索が可能,FUNCTION,3,FUNCTION_L2_データ・現象の可視化,203
FUNCTION_L3_複数生徒による画面共有が可能,複数生徒による画面共有が可能,FUNCTION,3,FUNCTION_L2_共同編集・共同作業,204
